AAK1
ABCA5
ABCB1
ABCD4
ABCG1
ABCG2
ABHD3
ABI1
ABI2
ABTB1
AC005562.1
AC007246.3
AC009133.12
AC009133.14
AC009133.21
AC009403.2
AC009501.4
AC011523.2
AC027763.2
AC159540.1
ACAA2
ACHE
ACLY
ACOT4
ACSF3
ACTL6A
ACTR10
ACTR3C
ACY3
ADH6
ADIRF
ADM
ADTRP
AGPAT2
AGPAT9
AHI1
AIFM2
AK1
AK2
AKAP10
AKR1B10
AKR1C3
ALAS1
ALDH16A1
ALDH1A1
ALDH1L1
ALDH7A1
ALDOB
ALDOC
ALOX5
ALOX5AP
AMDHD2
ANAPC13
ANAPC2
ANKRA2
ANKRD32
ANKRD36
ANKRD36C
ANKS4B
ANKZF1
ANLN
ANO7
ANO9
ANP32E
ANPEP
ANXA1
ANXA13
AOC1
AP1S2
AP5M1
APITD1
APOBEC1
APOBEC3B
APOBEC3C
APOL1
APOL2
APOM
APPL2
AQP11
AQP3
AQP8
ARFGAP1
ARFIP1
ARHGAP11A
ARHGAP11B
ARHGAP4
ARHGDIB
ARHGEF2
ARHGEF35
ARHGEF38
ARHGEF39
ARID3A
ARL14
ARL6IP1
ARRB2
ASCL2
ASF1B
ASMTL
ASPM
ASS1
ATF3
ATG12
ATG16L2
ATG4A
ATG5
ATP1B1
ATP1B3
ATP2A3
ATP6V0E2
ATP6V1C1
ATRX
ATXN1
AURKA
AURKB
AVIL
AXDND1
AZGP1
B3GALT4
B3GAT2
B3GNT6
B3GNT8
B4GALT1
B4GALT4
B9D2
BCAM
BCAR3
BCAS1
BCL2L12
BDKRB2
BEST2
BEST4
BET1
BET1L
BEX5
BIK
BIRC3
BIRC5
BLZF1
BMX
BNIP1
BORA
BPNT1
BRD1
BRD8
BST2
BTBD1
BTD
BTF3L4
BTG2
BTN2A1
BTNL3
BTNL8
BUB1
BUB3
C10orf10
C10orf118
C11orf1
C11orf54
C11orf86
C12orf36
C12orf5
C12orf65
C14orf80
C15orf57
C15orf65
C16orf62
C17orf75
C18orf56
C18orf8
C19orf52
C19orf66
C19orf77
C1GALT1C1
C1orf116
C1orf132
C1orf56
C21orf58
C2orf49
C2orf88
C3orf52
C4BPB
C5orf56
C6orf222
C6orf226
C7orf10
C7orf31
C8orf4
C9orf85
CA1
CA2
CA4
CA7
CALM2
CAPN12
CAPN8
